NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
APA CAJATI,Área de Proteção Ambiental,US,estadual,"2008",Lei ordinária nº 12810 de 21/02/2008,17/09/2015,0000.35.1697,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA SISTEMA CANTAREIRA,Área de Proteção Ambiental,US,estadual,"1998",Lei ordinária nº 10111 de 04/12/1998,17/10/2017,0000.35.1718,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEçãO AMBIENTAL DO ENGENHO PEQUENO,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 054/1991 de 27/07/1991,22/06/2018,0490.33.3214,Secretaria Municipal de Meio Ambiente do Município de São Gonçalo - RJ
AREA DE PROTEÇÃO AMBIENTAL DE JENIPABU,Área de Proteção Ambiental,US,estadual,"1995",Decreto nº 12.620 de 17/05/1995,28/06/2007,0000.24.1470,Instituto de Desenvolvimento Sustentável e Meio Ambiente do Rio Grande do Norte
ÁREA DE PROTEÇÃO AMBIENTAL RONCADOR,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 27.204 de 07/06/2006,30/08/2012,0000.25.2309,Superintendência de Administração do Meio Ambiente da Paraíba
ÁREA DE PROTEÇÃO AMBIENTAL SERRA BRANCA / RASO DA CATARINA,Área de Proteção Ambiental,US,estadual,"2001",Decreto nº 7.972 de 06/06/2001,20/07/2012,0000.29.0322,Secretaria do Meio Ambiente da Bahia
APA SERRA DO MAR,Área de Proteção Ambiental,US,estadual,"1984",Decreto nº 22717 de 21/09/1984,17/10/2017,0000.35.1716,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA,Área de Proteção Ambiental,US,estadual,"1991",Decreto nº 5124 de 17/07/1991,22/08/2011,0000.11.2065,Secretaria de Estado do Desenvolvimento Ambiental de Rondônia
ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO,Área de Proteção Ambiental,US,estadual,"1997",Lei ordinária nº 907 de 21/05/1997,27/07/2007,0000.17.1501,Instituto Natureza do Tocantins
ÁREA DE PROTEÇÃO AMBIENTAL DO LAGAMAR DO CAUIPE,Área de Proteção Ambiental,US,estadual,"1998",Decreto nº 24.957 de 08/06/1998,15/02/2016,0000.23.0949,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA,Área de Proteção Ambiental,US,estadual,"2005",Decreto nº 38183 de 05/09/2005,02/08/2012,0000.33.0735,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 35624 de 08/06/1994,05/10/2011,0000.31.0400,Instituto Estadual de Florestas de Minas Gerais
ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA GUANANDY,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3738-N de 15/08/1994,27/10/2011,0000.32.0333,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
ÁREA DE PROTEÇÃO AMBIENTAL RESERVA ECOLóGICA VAU AçU,Área de Proteção Ambiental,US,municipal,"1999",Lei ordinária nº 2.319/1999 de 16/06/1999,21/08/2018,5210.31.3627,Secretaria Municipal de Meio Ambiente de Ponte Nova - MG
ÁREA DE PROTEÇÃO AMBIENTAL TRIUNFO DO XINGU,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 2.612 de 04/12/2006,22/02/2016,0000.15.1039,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
APA MORRO DE SãO BENTO,Área de Proteção Ambiental,US,estadual,"1988",Lei ordinária nº 6131 de 27/05/1988,17/10/2017,0000.35.1706,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEçãO AMBIENTAL DA LAGOA DE CIMA,Área de Proteção Ambiental,US,municipal,"1992",Lei ordinária nº 5.394 de 30/12/1992,01/12/2014,0100.33.3115,Prefeitura Municipal de Campos dos Goytacazes - RJ
ÁREA DE PROTEÇÃO AMBIENTAL BOM JESUS,Área de Proteção Ambiental,US,municipal,"2002",Lei ordinária nº 1.535 de 20/12/2002,08/02/2017,2200.31.1528,"Secretaria de Meio Ambiente, Agricultura e Turismo - Municipio de Divino / MG"
ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ,Área de Proteção Ambiental,US,federal,"1997",Decreto nº S/N de 30/09/1997,23/04/2010,0000.00.0025,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEçãO AMBIENTAL DO MACIçO CENTRAL,Área de Proteção Ambiental,US,municipal,"1992",Decreto nº 8911 de 26/07/1992,20/07/2012,0530.32.2652,Secretaria Municipal de Meio Ambiente da Prefeitura Municipal de Vitória - ES
ÁREA DE PROTEçãO AMBIENTAL DA CARAPEBA BOA,Área de Proteção Ambiental,US,municipal,"2018",Decreto nº 2.227/2017 de 15/01/2018,01/03/2018,0093.33.3629,Secretaria Municipal de Meio Ambiente de Carapebus - RJ
ÁREA DE PROTEçãO AMBIENTAL DO MANGUEZAL DA BARRA GRANDE,Área de Proteção Ambiental,US,municipal,"2000",Lei ordinária nº 298 de 12/05/2000,26/01/2015,0535.23.3128,Secretaria de Desenvolvimento e Meio Ambiente de Icapuí - CE
ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.217 de 15/06/1993,19/03/2015,0000.29.0312,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SOBRADINHO,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 9.957 de 31/03/2006,28/11/2007,0000.29.1015,Secretaria do Meio Ambiente da Bahia
APA DO MORRO DA SAUDADE,Área de Proteção Ambiental,US,municipal,"1992",Lei ordinária nº 1912 de 01/10/1992,15/03/2011,0455.33.1817,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
AREA DE PROTEÇÃO AMBIENTAL POSSE/GUARITA,Área de Proteção Ambiental,US,municipal,"2012",Lei complementar nº 4.172 de 05/05/2012,08/09/2014,0350.33.2749,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
ÁREA DE PROTEÇÃO AMBIENTAL DO PASSAUNA,Área de Proteção Ambiental,US,estadual,"1991",Decreto nº 458 de 05/06/1991,18/03/2016,0000.41.0526,Instituto Ambiental do Paraná
ÁREA DE PROTEÇÃO AMBIENTAL POUSO ALTO,Área de Proteção Ambiental,US,estadual,"2001",Decreto nº 5.419 de 10/05/2001,05/08/2009,0000.52.0900,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
ÁREA DE PROTEÇÃO AMBIENTAL DO JUÁ,Área de Proteção Ambiental,US,municipal,"2012",Lei ordinária nº 19.206/2012 de 28/12/2012,23/10/2017,0680.15.3573,Secretaria Municipal de Meio Ambiente de Santarém - PA
ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Área de Proteção Ambiental,US,federal,"2000",Decreto nº SN de 14/09/2000,27/09/2007,0000.00.0006,Instituto Chico Mendes de Conservação da Biodiversidade
APA DAS PONTAS DE COPACABANA E ARPOADOR E SEUS ENTORNOS,Área de Proteção Ambiental,US,municipal,"1994",Lei ordinária nº 2087 de 05/01/1994,15/03/2011,0455.33.1824,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PRETO,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 10.019 de 06/06/2006,20/07/2012,0000.29.1016,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 4018 de 05/12/2002,01/08/2012,0000.33.0737,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE,Área de Proteção Ambiental,US,federal,"1993",Decreto nº 924 de 10/09/1993,12/04/2010,0000.00.0007,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DE SETIBA,Área de Proteção Ambiental,US,estadual,"1994",Decreto nº 3747 de 12/09/1994,27/10/2011,0000.32.0338,Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo
APA DE GRUMARI,Área de Proteção Ambiental,US,municipal,"1986",Lei ordinária nº 944 de 31/12/1986,15/03/2011,0455.33.1823,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPELAGO DE SANTANA,Área de Proteção Ambiental,US,municipal,"1989",Lei ordinária nº 1.216/1989 de 16/12/1989,29/04/2011,0240.33.2028,Secretaria Municipal de Ambiente e Sustentabilidade de Macaé - RJ
ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU,Área de Proteção Ambiental,US,estadual,"2013",Decreto nº 44032 de 16/01/2013,04/02/2014,0000.33.2805,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.216 de 15/06/1993,19/07/2012,0000.29.0311,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEçãO AMBIENTAL RAPOSO,Área de Proteção Ambiental,US,municipal,"2014",Decreto nº 3362 de 10/02/2014,11/07/2017,0220.33.3035,Secretaria Municipal do Ambiente de Itaperuna - RJ
APA DA SERRA DOS PRETOS FORROS,Área de Proteção Ambiental,US,municipal,"2000",Decreto nº 19145 de 16/11/2000,15/03/2011,0455.33.1797,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 15.136 de 23/07/1990,01/08/2012,0000.33.0727,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DO MARAJÓ,Área de Proteção Ambiental,US,estadual,"1989",Constituição nº Art.13 §2º de 05/10/1989,21/09/2016,0000.15.1023,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS,Área de Proteção Ambiental,US,federal,"1982",Decreto nº 87561 de 14/09/1982,12/04/2010,0000.00.0010,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL DAS DUNAS DA LAGOINHA,Área de Proteção Ambiental,US,estadual,"1999",Decreto nº 25.417 de 31/03/1999,15/02/2016,0000.23.0958,Secretaria do Meio Ambiente do Ceará
ÁREA DE PROTEÇÃO AMBIENTAL SANTA FÉ,Área de Proteção Ambiental,US,municipal,"2012",Decreto nº 4600 de 15/02/2012,17/09/2018,0600.33.3746,Secretaria Municipal de Meio Ambiente e Agricultura de Três Rios - RJ
ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 37.346 de 14/04/1997,27/04/2011,0000.43.1996,Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - RS
ÁREA DE PROTEçãO AMBIENTAL SERRA DO TIMóTEO,Área de Proteção Ambiental,US,municipal,"2003",Lei ordinária nº 2451 de 04/06/2003,17/01/2013,6870.31.2806,Prefeitura Municipal de Timóteo - MG
ÁREA DE PROTEÇÃO AMBIENTAL URUANA DE MINAS,Área de Proteção Ambiental,US,municipal,"2018",Decreto nº 307 de 03/01/2018,26/07/2018,7047.31.3706, Prefeitura Municipal de Uruana de Minas - MG
ÁREA DE PROTEÇÃO AMBIENTAL DE ALGODOAL-MAIANDEUA,Área de Proteção Ambiental,US,estadual,"1990",Lei ordinária nº 5.621 de 06/12/1990,19/02/2016,0000.15.1024,Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará
ÀREA DE PROTEÇÃO AMBIENTAL RETIRO,Área de Proteção Ambiental,US,municipal,"2004",Lei complementar nº 3593 de 09/07/2004,05/09/2018,0350.33.1873,"Secretaria Municipal de Meio Ambiente, Agricultura, Desenvolvimento Econômico e Turismo de Nova Iguaçu - RJ"
AREA DE PROTECAO AMBIENTAL CORREGO DA MATA,Área de Proteção Ambiental,US,municipal,"2002",Lei complementar nº 1.172/2002 de 11/09/2002,22/09/2014,5800.31.3026,Prefeitura Municipal de Santa Maria do Itabira - MG
ÁREA DE PROTEÇÃO AMBIENTAL SERRA GERAL DE GOIÁS,Área de Proteção Ambiental,US,estadual,"1996",Decreto nº 4.666 de 22/04/1996,06/08/2009,0000.52.1748,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
APA DO BAIRRO DA FREGUESIA,Área de Proteção Ambiental,US,municipal,"1992",Decreto nº 11830 de 14/12/1992,15/03/2011,0455.33.1784,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL ESTRADA PARQUE DE PIRAPUTANGA,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 9.937 de 06/06/2000,28/08/2018,0000.50.1579,Instituto de Meio Ambiente do Mato Grosso do Sul
APA PIRACICABA JUQUERí-MIRIM AREA II,Área de Proteção Ambiental,US,estadual,"1991",Lei ordinária nº 7438 de 16/07/1991,13/07/2016,0000.35.1708,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 20.956 de 20/09/1990,15/02/2016,0000.23.0946,Secretaria do Meio Ambiente do Ceará
APA DE CAFURINGA,Área de Proteção Ambiental,US,estadual,"1988",Decreto nº 11.123 de 13/06/1988,18/08/2017,0000.53.1640,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
AREA DE PROTEÇÃO AMBIENTAL MIRACEMA,Área de Proteção Ambiental,US,municipal,"2010",Decreto nº 0261 de 15/12/2010,24/05/2018,0300.33.1944,Secretaria Municipal de Meio Ambiente de Miracema - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ,Área de Proteção Ambiental,US,estadual,"1997",Lei ordinária nº 5907 de 17/03/1997,30/09/2010,0000.27.0923,Instituto do Meio Ambiente de Alagoas
ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA,Área de Proteção Ambiental,US,municipal,"1997",Decreto nº 8055 de 04/04/1997,20/11/2013,0910.42.2923,Secretaria do Meio Ambiente de Joinville - SC
ÁREA DE PROTEçãO AMBIENTAL DO ARQUIPéLAGO DE SãO PEDRO E SãO PAULO,Área de Proteção Ambiental,US,federal,"2018",Decreto nº 9313 de 20/03/2018,11/04/2018,0000.00.3643,Instituto Chico Mendes de Conservação da Biodiversidade
AREA DE PROTEçãO AMBIENTAL DO RIO GUANDU,Área de Proteção Ambiental,US,estadual,"2007",Decreto nº 40.670 de 28/02/2007,01/08/2012,0000.33.1512,Instituto Estadual do Ambiente do Rio de Janeiro
ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA,Área de Proteção Ambiental,US,federal,"1996",Decreto nº S/N de 29/08/1996,27/04/2011,0000.00.0019,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE PROTEÇÃO AMBIENTAL LAGOA DE ITAPARICA,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 6.546 de 19/07/1997,18/05/2017,0000.29.0329,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL DO PEQUENO,Área de Proteção Ambiental,US,estadual,"1996",Decreto nº 1.752 de 06/05/1996,18/03/2016,0000.41.0658,Instituto Ambiental do Paraná
ÁREA DE PROTEÇÃO AMBIENTAL DE SÃO DESIDÉRIO,Área de Proteção Ambiental,US,estadual,"2006",Decreto nº 10.020 de 06/06/2006,23/07/2012,0000.29.1017,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS,Área de Proteção Ambiental,US,estadual,"1999",Lei ordinária nº 1.098 de 25/10/1999,27/07/2007,0000.17.1497,Instituto Natureza do Tocantins
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO ARICÁ-AÇU,Área de Proteção Ambiental,US,municipal,"1999",Lei ordinária nº 3874 de 05/07/1999,25/03/2013,0340.51.2832,Secretaria Municipal de Meio Ambiente e Assuntos Fundiários - Cuiabá - MT
ÁREA DE PROTEÇÃO AMBIENTAL DO BRILHANTE,Área de Proteção Ambiental,US,municipal,"1993",Lei ordinária nº 2832 de 22/09/1993,01/02/2011,0820.42.1865,Fundação Municipal do Meio Ambiente de Itajaí - SC
ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE,Área de Proteção Ambiental,US,estadual,"2002",Decreto nº 5.704 de 27/12/2002,05/08/2009,0000.52.0353,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS,Área de Proteção Ambiental,US,estadual,"1997",Decreto nº 38925 de 18/07/1997,06/11/2012,0000.31.0402,Instituto Estadual de Florestas de Minas Gerais
APA DO LAGO PARANOÁ,Área de Proteção Ambiental,US,estadual,"1989",Decreto nº 12.055 de 15/12/1989,18/08/2017,0000.53.1636,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
APA CABREUVA,Área de Proteção Ambiental,US,estadual,"1984",Lei ordinária nº 4023 de 22/05/1984,17/10/2017,0000.35.1695,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA,Área de Proteção Ambiental,US,estadual,"1996",Decreto nº 1.754 de 06/05/1996,18/03/2016,0000.41.0502,Instituto Ambiental do Paraná
ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO,Área de Proteção Ambiental,US,estadual,"1993",Decreto nº 2.185 de 07/11/1993,10/11/2016,0000.29.0305,Secretaria do Meio Ambiente da Bahia
ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA,Área de Proteção Ambiental,US,estadual,"2003",Decreto nº 8.552 de 06/06/2003,19/05/2017,0000.29.0301,Secretaria do Meio Ambiente da Bahia
APA TIETê,Área de Proteção Ambiental,US,estadual,"1983",Decreto nº 20959 de 08/06/1983,17/10/2017,0000.35.1719,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
APA DA ORLA MARíTIMA DA BAíA DE SEPETIBA,Área de Proteção Ambiental,US,municipal,"1988",Lei ordinária nº 1208 de 11/04/1988,15/03/2011,0455.33.1777,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL MONTE URUBU,Área de Proteção Ambiental,US,municipal,"2013",Decreto nº 4585 de 21/10/2013,20/03/2014,0040.32.2957,Secretaria de Meio Ambiente de Anchieta - ES
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA JIBÓIA,Área de Proteção Ambiental,US,estadual,"2000",Decreto nº 5.175 de 03/03/2000,06/08/2009,0000.52.1751,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES,Área de Proteção Ambiental,US,estadual,"1995",Decreto nº 0537 de 21/11/1995,28/11/2013,0000.51.0461,Secretaria de Estado do Meio Ambiente de Mato Grosso
ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Área de Proteção Ambiental,US,federal,"1992",Decreto nº 528 de 20/05/1992,27/09/2007,0000.00.0001,Instituto Chico Mendes de Conservação da Biodiversidade
APA DO VáRZEA COUNTRY CLUB,Área de Proteção Ambiental,US,municipal,"1991",Decreto nº 9952 de 08/01/1991,17/11/2010,0455.33.1822,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
APA DA SERRA DA CAPOEIRA GRANDE,Área de Proteção Ambiental,US,municipal,"1999",Lei ordinária nº 2835 de 05/07/1999,15/03/2011,0455.33.1764,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS QUEIMADA GRANDE E QUEIMADA PEQUENA,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91887 de 05/11/1985,27/09/2007,0000.00.0037,Instituto Chico Mendes de Conservação da Biodiversidade
ARIE ZONA DE VIDA SILVESTRE DA APA DA ILHA COMPRIDA,Área de Relevante Interesse Ecológico,US,estadual,"1989",Decreto nº 30.817 de 01/11/1989,11/10/2017,0000.35.2843,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ARIE DA GRANJA DO IPÊ,Área de Relevante Interesse Ecológico,US,estadual,"1998",Decreto nº 19.431 de 16/07/1998,18/08/2017,0000.53.1644,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ARIE DO TORTO,Área de Relevante Interesse Ecológico,US,estadual,"2006",Decreto nº 27.261 de 21/09/2006,18/08/2017,0000.53.1768,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ÁREA DE RELEVANTE INTERESSE ECOLóGICO DO MORRO DO IRIRIú,Área de Relevante Interesse Ecológico,US,municipal,"2012",Decreto nº 19.665 de 11/10/2012,22/10/2013,0910.42.2925,Secretaria do Meio Ambiente de Joinville - SC
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91.890 de 05/11/1985,04/12/2007,0000.00.0039,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DO BURITI,Área de Relevante Interesse Ecológico,US,estadual,"1990",Decreto nº 7.456 de 28/11/1990,18/03/2016,0000.41.0543,Instituto Ambiental do Paraná
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DAS ÁGUAS EMENDADAS DOS INHAMUNS,Área de Relevante Interesse Ecológico,US,estadual,"2014",Decreto nº 31403 de 28/01/2014,10/03/2017,0000.23.3483,Secretaria do Meio Ambiente do Ceará
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91884 de 05/11/1985,27/09/2007,0000.00.0043,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DE SÃO DOMINGOS,Área de Relevante Interesse Ecológico,US,estadual,"1990",Decreto nº 7.456 de 28/11/1990,18/03/2016,0000.41.0545,Instituto Ambiental do Paraná
ARIE PARANOÁ SUL,Área de Relevante Interesse Ecológico,US,estadual,"1988",Decreto nº 11209 de 18/08/1988,18/08/2017,0000.53.1649,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATÃO DE COSMÓPOLIS,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 90791 de 09/01/1985,04/12/2007,0000.00.0041,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA CAPETINGA/TAQUARA,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91.303 de 03/06/1985,25/04/2008,0000.00.0031,Instituto Chico Mendes de Conservação da Biodiversidade
AREA DE RELEVANTE INTERESSE ECOLOGICO PARQUE AMBIENTAL ANTONIO DANUBIO LOURENÇO DA SILVA,Área de Relevante Interesse Ecológico,US,municipal,"2011",Lei ordinária nº 2472 de 17/01/2011,06/05/2011,0080.15.1960,Secretaria Municipal de Meio Ambiente de Ananindeua - PA
ARIE DE SãO SEBASTIãO,Área de Relevante Interesse Ecológico,US,estadual,"2008",Decreto nº 53.525 de 09/10/2008,22/09/2015,0000.35.1722,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
AREA DE RELEVANTE INTERESSE ECOLÓGICO- ILHAS DO RIO PARAIBA DO SUL,Área de Relevante Interesse Ecológico,US,municipal,"2005",Decreto nº 4580/2005 de 14/06/2005,04/09/2008,0040.33.1631,Secretaria Municipal de Meio Ambiente e Desenvolvimento Sustentável de Barra Mansa - RJ
ÁREA DE RELEVANTE INTERESSE ECOLóGICO DA PEDRA BRANCA,Área de Relevante Interesse Ecológico,US,estadual,"1987",Lei ordinária nº 5864 de 29/10/1987,28/08/2018,0000.35.3731,Fundação para Conservação e a Produção Florestal do Estado de São Paulo
ARIE DO CÓRREGO CABECEIRA DO VALO,Área de Relevante Interesse Ecológico,US,estadual,"2007",Decreto nº 28.081 de 02/07/2007,18/08/2017,0000.53.1652,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ARIE DO CÓRREGO MATO GRANDE,Área de Relevante Interesse Ecológico,US,estadual,"2004",Decreto nº 25067 de 14/09/2004,18/08/2017,0000.53.1650,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ARIE DO BOSQUE,Área de Relevante Interesse Ecológico,US,estadual,"2001",Lei complementar nº 407 de 14/12/2001,18/08/2017,0000.53.1646,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CORREDOR ECOLÓGICO LAGOA ENCANTADA / SERRA DO CONDURU,Área de Relevante Interesse Ecológico,US,municipal,"2009",Lei ordinária nº 3427/2009 de 15/09/2009,04/05/2015,1360.29.3177,Prefeitura Municipal de Ilhéus - BA
AREA DE RELEVANTE INTERESSE ECOLOGICO MUSEU PARQUE SERINGAL,Área de Relevante Interesse Ecológico,US,municipal,"2012",Lei ordinária nº 2.560 de 09/04/2012,09/07/2012,0080.15.2663,Secretaria Municipal de Meio Ambiente de Ananindeua - PA
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DO OROBÓ,Área de Relevante Interesse Ecológico,US,estadual,"2002",Decreto nº 8.267 de 06/06/2002,19/07/2012,0000.29.0300,Secretaria do Meio Ambiente da Bahia
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA VASSUNUNGA,Área de Relevante Interesse Ecológico,US,federal,"1990",Decreto nº 99276 de 06/06/1990,27/09/2007,0000.00.0030,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA SERINGAL NOVA ESPERANÇA,Área de Relevante Interesse Ecológico,US,federal,"1999",Decreto nº S/N de 20/08/1999,27/09/2007,0000.00.0044,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA MATA DE SANTA GENEBRA,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91885 de 05/11/1985,31/05/2011,0000.00.0040,Instituto Chico Mendes de Conservação da Biodiversidade
ÁREA DE RELEVANTE INTERESSE ECOLÓGICA JAVARI BURITI,Área de Relevante Interesse Ecológico,US,federal,"1985",Decreto nº 91886 de 05/11/1985,27/04/2011,0000.00.0038,Instituto Chico Mendes de Conservação da Biodiversidade
