NOMEUC;CODUC;PROCESSO;EMPREENDIMENTO;EMPREENDEDOR;DESTINACAO;APLICACAO;ACAODEST;ACAOAPL;REUNIAO;TIPO;DATA
PARQUE NACIONAL DE CAPARAO;0000.00.0160;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;632985,65;;1;;1;O;09/08/11
RESERVA BIOLÓGICA AUGUSTO RUSCHI;0000.00.0191;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;190000;;0;;1;O;09/08/11
PARQUE ESTADUAL DO RIO DOCE;0000.31.0394;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;150000;;0;;1;O;09/08/11
RESERVA BIOLóGICA DE DUAS BOCAS;0000.32.1667;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;150000;;0;;1;O;09/08/11
ÁREA DE PROTEçãO AMBIENTAL DE SANTANA DO PARAíSO;5895.31.2548;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;10000;;0;;1;O;09/08/11
RESERVA EXTRATIVISTA VERDE PARA SEMPRE;0000.00.0260;02001.004860/2011-07;LT TUCURUI - XINGU - JURUPARI (LOTE A DO LINHAO DE TUCURUI);Linhas de Xingu Transmissora de Energia S.A;4610262,69;;1;;2;O;10/06/11
RESERVA EXTRATIVISTA RIO CAJARI;0000.00.1518;02001.004855/2011-96;LT JURUPARI - ORIXIMINA E JURUPARI - LARANJAL DO JARI - MACAPA (LOTE B DO LINHAO TUCURUI).;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA LTDA.;4155688,06;;0;;2;O;10/06/11
ESTAÇÃO ECOLÓGICA DE URUÇUÍ-UNA;0000.00.0065;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;266608,28;;0;;4;O;12/15/11
PARQUE NACIONAL DE CAPARAO;0000.00.0160;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;480979;;;1;4;O;12/15/11
RESERVA BIOLÓGICA AUGUSTO RUSCHI;0000.00.0191;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;190000;;1;4;O;12/15/11
PARQUE NACIONAL DA CHAPADA DAS MESAS;0000.00.0272;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;160000;;0;;4;O;12/15/11
PARQUE ESTADUAL DO RIO DOCE;0000.31.0394;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;150000;;2;4;O;12/15/11
RESERVA BIOLóGICA DE DUAS BOCAS;0000.32.1667;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;150000;;3;4;O;12/15/11
PARQUE ESTADUAL DE MIRADOR;0000.21.1963;02001.007150/2011-21;LT COMPENSAÇÃO AMBIENTAL RIBEIRO GONÇALVES - BALSAS;ELETRONORTE;160000;;0;;4;O;12/15/11
PARQUE NACIONAL DA CHAPADA DAS MESAS;0000.00.0272;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;793652,73;;1;;5;O;03/22/12
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS;0000.15.1021;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;250000;;0;;5;O;03/22/12
PARQUE ESTADUAL DO CANTãO;0000.17.1487;02070.000204/2008-16;LINHA DE TRANSMISSAO 500 KV ITACAIUNAS / COLINAS;ATE III TRANSMISSORA DE ENERGIA S/A;250000;;0;;5;O;03/22/12
PARQUE NACIONAL DE ANAVILHANAS;0000.00.0049;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;2725000;;0;;6;O;05/17/12
ESTAÇÃO ECOLÓGICA DO JARI;0000.00.0067;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;2000000;;1;;6;O;05/17/12
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;0000.00.0187;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;1697919;;0;;6;O;05/17/12
RESERVA BIOLÓGICA DO RIO TROMBETAS;0000.00.0210;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;2758662,45;;0;;6;O;05/17/12
ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ;0000.13.0997;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;300000;;0;;6;O;05/17/12
ESTAÇÃO ECOLÓGICA DO JARI;0000.00.0067;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;;550000;;1;7;O;07/12/12
ESTAÇÃO ECOLÓGICA DO JARI;0000.00.0067;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;;1047919;;3;7;O;07/12/12
PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES;0000.00.0138;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1093000,08;;0;;7;O;07/12/12
PARQUE NACIONAL DA SERRA GERAL;0000.00.0153;02001.001414/2012-13;LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA;ELETROSUL CENTRAIS ELÉTRICAS S.A.;305342,22;;0;;7;O;07/12/12
PARQUE NACIONAL DAS EMAS;0000.00.0155;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1093000,08;;0;;7;O;07/12/12
PARQUE NACIONAL DE APARADOS DA SERRA;0000.00.0158;02001.001414/2012-13;LT 525 KV CAMPOS NOVOS - NOVA SANTA RITA;ELETROSUL CENTRAIS ELÉTRICAS S.A.;305342,22;;0;;7;O;07/12/12
PARQUE NACIONAL DE PACAÁS NOVOS;0000.00.0163;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1062500;;0;;7;O;07/12/12
PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE;0000.00.0187;02001.001114/2012-34;UHE Santo Antônio (Rio Jari);ECE PARTICIPAÇÕES S/A;;2100000;;1;7;O;07/12/12
PARQUE NACIONAL DA SERRA DA CUTIA;0000.00.0188;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1062500;;0;;7;O;07/12/12
RESERVA BIOLÓGICA DO JARU;0000.00.0208;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1062500;;0;;7;O;07/12/12
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1062500;;0;;7;O;07/12/12
PARQUE ESTADUAL SERRA DAS ARARAS;0000.31.0386;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;1093000,08;;0;;7;O;07/12/12
ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES;0000.51.0461;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;200000;;0;;7;O;07/12/12
ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO;0000.35.0812;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;175000;;0;;7;O;07/12/12
ESTAÇÃO ECOLÓGICA DE BAURU;0000.35.0909;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;175000;;0;;7;O;07/12/12
PARQUE ESTADUAL DE CORUMBIARA;0000.11.1495;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;250000;;0;;7;O;07/12/12
ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO ARICÁ-AÇU;0340.51.2832;02001.001291/2012-11; LT Porto Velho - Araraquara 2. n.º 2. Lote G do Linhão do Madeira;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;100000;;0;;7;O;07/12/12
RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DO UATUMÃ;0000.13.0990;02001.004856/2011-31;LT ORIXIMINA - SILVES - ENG. LECHUGA - MANAUS (LOTE C DO LINHAO TUCURUI).;MANAUS TRANSMISSORA DE ENERGIA S.A;450000;;7;;9;O;09/27/12
PARQUE NACIONAL DE ANAVILHANAS;0000.00.0049;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ;0000.00.0072;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
FLORESTA NACIONAL DE BOM FUTURO;0000.00.0116;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;4000000;;0;;10;O;10/10/12
PARQUE NACIONAL DA SERRA DO DIVISOR;0000.00.0149;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
PARQUE NACIONAL DE PACAÁS NOVOS;0000.00.0163;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852;;0;;10;O;10/10/12
PARQUE NACIONAL DO JAÚ;0000.00.0173;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
PARQUE NACIONAL DA SERRA DA CUTIA;0000.00.0188;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
RESERVA BIOLÓGICA DO GUAPORÉ;0000.00.0206;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
RESERVA BIOLÓGICA DO JARU;0000.00.0208;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO RIO VERMELHO (C);0000.11.0739;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1000000;;0;;10;O;10/10/12
PARQUE ESTADUAL DE GUAJARÁ-MIRIM;0000.11.0765;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1333333,33;;0;;10;O;10/10/12
ESTAÇÃO ECOLÓGICA SERRA DOS TRÊS IRMÃOS;0000.11.0768;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;4000000;;0;;10;O;10/10/12
RESERVA BIOLÓGICA TRAÇADAL;0000.11.0770;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1333333,33;;0;;10;O;10/10/12
RESERVA EXTRATIVISTA JACI-PARANÁ;0000.11.0776;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;4000000;;0;;10;O;10/10/12
PARQUE ESTADUAL DE CORUMBIARA;0000.11.1495;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1333333,33;;0;;10;O;10/10/12
PARQUE NACIONAL NASCENTES DO LAGO JARI;0000.00.1626;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;2650852,13;;0;;10;O;10/10/12
PARQUE NACIONAL MAPINGUARI;0000.00.1633;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;8000000;;0;;10;O;10/10/12
PARQUE NATURAL MUNICIPAL DE PORTO VELHO;0020.11.1818;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1000000;;0;;10;O;10/10/12
ÁREA DE PROTEÇÃO AMBIENTAL DO RIO MADEIRA;0000.11.2065;02001.004861/2011-43;UHE Santo Antônio;SANTO ANTÔNIO ENERGIA S/A;1000000;;0;;10;O;10/10/12
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;835638,2;;1;;11;O;11/28/12
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;;855638;;1;11;O;11/28/12
PARQUE NACIONAL DE CAPARAO;0000.00.0160;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;152005;;1;11;O;11/28/12
ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA;0000.41.0500;02001.004849/2012-10;LT JOINVILLE NORTE - CURITIBA C2.;INTERLIGAÇÃO ELÉTRICA SUL S.A.;100000;;0;;11;O;11/28/12
PARQUE ESTADUAL DE PORTO FERREIRA;0000.35.0823;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;133333,33;;0;;11;O;11/28/12
PARQUE ESTADUAL DA ARA;0000.35.0913;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;133333,33;;0;;11;O;11/28/12
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL ESTÂNCIA JATOBÁ;0000.00.1063;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;40000;;0;;11;O;11/28/12
APA PIRACICABA JUQUERI MIRIM ÁREA I;0000.35.1974;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;180000;;0;;11;O;11/28/12
ÁREA DE PROTEçãO AMBIENTAL DE SANTANA DO PARAíSO;5895.31.2548;02001.004858/2011-20;LT Mesquita - Viana;MGE TRANSMISSÃO S.A.;;10000;;8;11;O;11/28/12
ESTAçãO ECOLóGICA DE MOGI-GUAçU;0000.35.2617;02070.000032/2008-72;GASODUTO PAULINIA-JACUTINGA;NOVA TRANSPORTADORA DO SUDESTE S/A - NTS;133333,33;;0;;11;O;11/28/12
ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU;0000.33.2805;02001.004849/2012-10;LT JOINVILLE NORTE - CURITIBA C2.;INTERLIGAÇÃO ELÉTRICA SUL S.A.;54865,02;;0;;11;O;11/28/12
ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;0000.00.0013;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;900000;;0;;12;O;12/18/12
ESTAÇÃO ECOLÓGICA DE TAMOIOS;0000.00.0063;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;1534000;;0;;12;O;12/18/12
PARQUE NACIONAL CAVERNAS DO PERUAÇU;0000.00.0135;02001.008535/2012-96;UHE PEIXE ANGICAL;ENERPEIXE S.A.;93847,14;;1;;12;O;12/18/12
PARQUE NACIONAL RESTINGA DE JURUBATIBA;0000.00.0141;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;1000000;;0;;12;O;12/18/12
PARQUE NACIONAL DA SERRA DA BOCAINA;0000.00.0142;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;23178160;;0;;12;O;12/18/12
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;3868502,5;;0;;12;O;12/18/12
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;;3791377;;1;12;O;12/18/12
PARQUE NACIONAL DA SERRA DA CANASTRA;0000.00.0144;02001.003037/2006-17;ADEQUACAO DA CAPACIDADE DA BR - 050 - TR. ENTRE UBERLÂNDIA E A DIVISA DOS ESTADOS DE MG E SP;DNIT;250000;;0;;12;O;12/18/12
PARQUE NACIONAL DA SERRA DOS ORGÃOS;0000.00.0152;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;1000000;;0;;12;O;12/18/12
PARQUE NACIONAL DA SERRA DOS ORGÃOS;0000.00.0152;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;;1000000;;1;12;O;12/18/12
PARQUE NACIONAL DE PACAÁS NOVOS;0000.00.0163;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;386850,24;;0;;12;O;12/18/12
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;0000.00.0164;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;1000000;;0;;12;O;12/18/12
PARQUE NACIONAL DO SUPERAGUI;0000.00.0178;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;1000000;;0;;12;O;12/18/12
PARQUE NACIONAL MARINHO DOS ABROLHOS;0000.00.0185;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;1000000;;0;;12;O;12/18/12
RESERVA BIOLÓGICA NASCENTES SERRA DO CACHIMBO;0000.00.0216;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;2294970,15;;0;;12;O;12/18/12
PARQUE NACIONAL DO RIO NOVO;0000.00.0264;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;2294970,15;;0;;12;O;12/18/12
PARQUE NACIONAL DO JAMANXIM;0000.00.0267;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;2294970,15;;0;;12;O;12/18/12
PARQUE NACIONAL DO JURUENA;0000.00.0281;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;386850,24;;0;;12;O;12/18/12
PARQUE NACIONAL DO JURUENA;0000.00.0281;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;2294970,15;;0;;12;O;12/18/12
PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS;0000.00.0284;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;386850,24;;0;;12;O;12/18/12
PARQUE ESTADUAL IGARAPÉS DO JURUENA;0000.51.0455;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;500000;;0;;12;O;12/18/12
ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS;0000.33.0731;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;3473946,66;;0;;12;O;12/18/12
ESTAÇÃO ECOLÓGICA JATAÍ;0000.35.0808;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;92107,2;;0;;12;O;12/18/12
ESTAÇÃO ECOLÓGICA DE RIBEIRÃO PRETO;0000.35.0812;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;92107,2;;0;;12;O;12/18/12
ESTAÇÃO ECOLÓGICA DE BAURU;0000.35.0909;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;92107,2;;0;;12;O;12/18/12
PARQUE ESTADUAL SUCUNDURI;0000.13.1009;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;500000;;0;;12;O;12/18/12
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GLEBA O SAQUINHO DE ITAPIRAPUÁ;0000.00.1142;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;50000;;0;;12;O;12/18/12
PARQUE ESTADUAL DA ILHA GRANDE;0000.33.1477;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;3473946,66;;0;;12;O;12/18/12
PARQUE ESTADUAL CUNHAMBEBE;0000.33.1620;02001.001716/2012-91;Usina Nuclear de Angra III;ELETRONUCLEAR;3473946,66;;0;;12;O;12/18/12
PARQUE NACIONAL NASCENTES DO LAGO JARI;0000.00.1626;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;386850,24;;0;;12;O;12/18/12
PARQUE NACIONAL MAPINGUARI;0000.00.1633;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;386850,24;;0;;12;O;12/18/12
PARQUE ESTADUAL PAU FURADO;0000.31.1770;02001.003037/2006-17;ADEQUACAO DA CAPACIDADE DA BR - 050 - TR. ENTRE UBERLÂNDIA E A DIVISA DOS ESTADOS DE MG E SP;DNIT;47162,59;;0;;12;O;12/18/12
PARQUE ESTADUAL CRISTALINO;0000.51.1901;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;500000;;0;;12;O;12/18/12
PARQUE ESTADUAL CRISTALINO II;0000.51.1902;02001.004860/2012-80;UHE TELES PIRES;COMPANHIA HIDRELÉTRICA TELES PIRES SA;500000;;0;;12;O;12/18/12
ESTAçãO ECOLóGICA DE MOGI-GUAçU;0000.35.2617;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;92107,2;;0;;12;O;12/18/12
ESTAÇÃO ECOLÓGICA DE ITIRAPINA;0000.35.2701;02001.001289/2012-41;Estação Retificadora/Inversora - Lote C;ELETRONORTE;92107,2;;0;;12;O;12/18/12
ÁREA DE PROTEÇÃO AMBIENTAL CHAPADA DO ARARIPE;0000.00.0008;02001.005905/2012-33;LINHA DE TRANSMISSAO 500 KV SAO JOAO DO PIAUI/MILAGRES;IRACEMA TRANSMISSORA DE ENERGIA ( IRTE);217500;;0;;13;O;01/31/13
ESTAÇÃO ECOLÓGICA DE AIUABA;0000.00.0048;02001.005905/2012-33;LINHA DE TRANSMISSAO 500 KV SAO JOAO DO PIAUI/MILAGRES;IRACEMA TRANSMISSORA DE ENERGIA ( IRTE);217500;;0;;13;O;01/31/13
PARQUE NACIONAL DA SERRA DA CAPIVARA;0000.00.0145;02001.005905/2012-33;LINHA DE TRANSMISSAO 500 KV SAO JOAO DO PIAUI/MILAGRES;IRACEMA TRANSMISSORA DE ENERGIA ( IRTE);217500;;0;;13;O;01/31/13
PARQUE NACIONAL SERRA DAS CONFUSÕES;0000.00.0146;02001.005905/2012-33;LINHA DE TRANSMISSAO 500 KV SAO JOAO DO PIAUI/MILAGRES;IRACEMA TRANSMISSORA DE ENERGIA ( IRTE);217500;;0;;13;O;01/31/13
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE;0000.00.0164;02001.005701/2012-01;TERMINAL DE CONTEINERE DE PARANAGUA - TCP;TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S/A;329000;;0;;13;O;01/31/13
PARQUE NACIONAL DO SUPERAGUI;0000.00.0178;02001.005701/2012-01;TERMINAL DE CONTEINERE DE PARANAGUA - TCP;TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S/A;329000;;0;;13;O;01/31/13
PARQUE ESTADUAL SÍTIO FUNDÃO;0000.23.1930;02001.005905/2012-33;LINHA DE TRANSMISSAO 500 KV SAO JOAO DO PIAUI/MILAGRES;IRACEMA TRANSMISSORA DE ENERGIA ( IRTE);59857,9;;0;;13;O;01/31/13
ESTAÇÃO ECOLÓGICA DE TAMOIOS;0000.00.0063;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
ESTAÇÃO ECOLÓGICA DO TAIM;0000.00.0070;02001.002724/2007-98;BR-116 E BR-392 - PELOTAS /RS - RIO GRANDE/RS.;DNIT;500000;;0;;14;O;02/27/13
PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES;0000.00.0138;02001.001290/2012-76;LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE;CATXERE TRANSMISSORA DE ENERGIA S.A.;793824,62;;0;;14;O;02/27/13
PARQUE NACIONAL DA LAGOA DO PEIXE;0000.00.0140;02001.002724/2007-98;BR-116 E BR-392 - PELOTAS /RS - RIO GRANDE/RS.;DNIT;500000;;0;;14;O;02/27/13
PARQUE NACIONAL DA SERRA DA BOCAINA;0000.00.0142;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
PARQUE NACIONAL DAS EMAS;0000.00.0155;02001.001290/2012-76;LINHA DE TRANSMISSÃO 500 KV CUIABÁ-RIBEIRÃOZINHO-RIO VERDE;CATXERE TRANSMISSORA DE ENERGIA S.A.;793824,62;;0;;14;O;02/27/13
PARQUE NACIONAL DO CABO ORANGE;0000.00.0169;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
PARQUE NACIONAL DOS LENÇOIS MARANHENSES;0000.00.0180;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
PARQUE NACIONAL MARINHO DOS ABROLHOS;0000.00.0185;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
RESERVA BIOLÓGICA ATOL DAS ROCAS;0000.00.0203;02070.000021/2008-92;SISTEMA DE DESENVOLVIMENTO DE PETROLEO NO CAMPO DE FRADE - B. DE CAMPOS;CHEVRON BRASILEIRA DE PETRÓLEO LTDA.;1188035,71;;0;;14;O;02/27/13
